pair_id,origin_hospital_id,destination_hospital_id,hour,minute,dayofweek_num,is_weekend,is_morning_peak,is_evening_peak,is_night,hour_sin,hour_cos,dow_sin,dow_cos,distanceMeters,distance_km,static_duration_seconds,osm_intersection_count,osm_signal_count,osm_route_risk_score,traffic_normal_interval_count,traffic_slow_interval_count,traffic_jam_interval_count,road_mix_trunk,road_mix_primary,road_mix_secondary,road_mix_tertiary_local,intersections_per_km,signals_per_km,jam_interval_ratio,slow_or_jam_ratio,static_eta_over_distance,hospital_pair_code,traffic_band_code,duration_seconds,congestion_ratio
1,1,2,5,30,6,1,0,0,1,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,6560,6.56,703,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,11.890243902439025,1.3719512195121952,0.0,0.0,107.16463414634147,13,0,619,0.8805
1,1,2,6,0,6,1,0,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,6479,6.479,686,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,12.038894891186912,1.389103256675413,0.0,0.0,105.88053711992592,13,0,604,0.8805
1,1,2,6,30,6,1,0,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,6567,6.567,697,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,11.87756966651439,1.3704888076747372,0.0,0.0,106.1367443276991,13,0,613,0.8795
1,1,2,7,0,6,1,1,0,0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,6515,6.515,674,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,11.97237145049885,1.3814274750575595,0.0,0.0,103.45356868764391,13,0,593,0.8798
1,1,2,7,30,6,1,1,0,0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,6530,6.53,707,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,11.944869831546708,1.3782542113323124,0.0,0.0,108.26952526799387,13,0,622,0.8798
1,1,2,8,0,6,1,1,0,0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,6596,6.596,681,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,11.825348696179503,1.364463311097635,0.0,0.0,103.24439053972104,13,0,599,0.8796
1,1,2,8,30,6,1,1,0,0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,6444,6.444,704,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,12.104283054003725,1.3966480446927374,0.0,0.0,109.24891371818747,13,0,620,0.8807
1,1,2,9,0,6,1,1,0,0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,6437,6.437,664,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,12.117446015224482,1.3981668479105172,0.0,0.0,103.15364300139817,13,0,584,0.8795
1,1,2,9,30,6,1,1,0,0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,6595,6.595,702,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,11.827141774071267,1.3646702047005308,0.0,0.0,106.4442759666414,13,0,618,0.8803
1,1,2,10,0,6,1,0,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,6498,6.498,682,78,9,46.014,9,0,0,0.069,0.368,0.199,0.364,12.003693444136657,1.3850415512465373,0.0,0.0,104.95537088334872,13,0,600,0.8798
